"city","time","humidity","pressure_mb","temp","wind_dir","wind_speed"
"Kochi","2025-11-17T08:05:42.207081","66","1011","30.3","W","2.9"
"Kochi","2025-11-17T08:23:21.994428","62","1010","30","W","2.9"
"Kochi","2025-11-17T08:25:37.411204","62","1010","30","W","2.9"
"Kochi","2025-11-17T08:51:41.238384","66","1010","30.2","W","3.6"
"Mumbai","2025-11-17T08:05:41.243236","29","1014","30.3","E","4.3"
"Mumbai","2025-11-17T08:23:20.347422","29","1014","30.3","E","4.3"
"Mumbai","2025-11-17T08:25:36.448151","29","1014","30.3","E","4.3"
"Mumbai","2025-11-17T08:51:39.597794","27","1013","31.4","N","2.2"
"Dehradun","2025-11-17T08:05:41.968173","39","1018","22.2","SSW","5.1"
"Dehradun","2025-11-17T08:23:21.592103","39","1018","22.2","SSW","5.1"
"Dehradun","2025-11-17T08:25:37.170714","39","1018","22.2","SSW","5.1"
"Dehradun","2025-11-17T08:51:40.827575","41","1017","21.9","SSW","4.9"
"Kerela","2025-11-17T08:05:42.617797","42","1015","21.4","SW","2.2"
"Kerela","2025-11-17T08:23:22.423448","42","1015","21.4","SW","2.2"
"Kerela","2025-11-17T08:25:37.649871","42","1015","21.4","SW","2.2"
"Kerela","2025-11-17T08:51:41.648093","42","1015","21.4","SW","2.2"
"Kashmir","2025-11-17T08:05:41.723277","34","1019","28.4","SW","6"
"Kashmir","2025-11-17T08:23:21.183945","34","1019","28.4","SW","6"
"Kashmir","2025-11-17T08:25:36.926887","34","1019","28.4","SW","6"
"Kashmir","2025-11-17T08:51:40.404382","33","1018","29.1","SW","8.5"
"Bangalore","2025-11-17T08:05:40.507100","61","1017","26.2","ENE","6.7"
"Bangalore","2025-11-17T08:23:19.303877","65","1017","25.3","ENE","6.7"
"Bangalore","2025-11-17T08:25:35.794960","65","1017","25.3","ENE","6.7"
"Bangalore","2025-11-17T08:51:38.580860","65","1017","25.2","ENE","7.2"
"Sikkim","2025-11-17T08:05:43.450334","51","1018","19.1","SSW","5.1"
"Sikkim","2025-11-17T08:23:23.291062","51","1018","19.1","SSW","5.1"
"Sikkim","2025-11-17T08:25:38.130278","51","1018","19.1","SSW","5.1"
"Sikkim","2025-11-17T08:51:42.489745","55","1018","18.4","SSW","4.5"
"Delhi","2025-11-17T08:05:40.984408","84","1008","'-0.4","WNW","17.7"
"Delhi","2025-11-17T08:23:19.938049","83","1008","'-0.8","WNW","17.7"
"Delhi","2025-11-17T08:25:36.208601","83","1008","'-0.8","WNW","17.7"
"Delhi","2025-11-17T08:51:39.197631","83","1008","'-0.8","WNW","17.7"
"Hyderabad","2025-11-17T08:05:43.053292","30","1018","26.1","NE","8.7"
"Hyderabad","2025-11-17T08:23:22.831103","32","1017","27.1","NE","8.7"
"Hyderabad","2025-11-17T08:25:37.889480","32","1017","27.1","NE","8.7"
"Hyderabad","2025-11-17T08:51:42.081873","28","1017","27.2","NE","8.5"
"Chennai","2025-11-17T08:05:41.487564","84","1012","27.4","N","19.5"
"Chennai","2025-11-17T08:23:20.770987","84","1012","26.3","N","19.5"
"Chennai","2025-11-17T08:25:36.688175","84","1012","26.3","N","19.5"
"Chennai","2025-11-17T08:51:39.999129","84","1011","26.4","N","20.1"
